,Week,Team1,Score1,Team2,Score2,Year,Type
48,9,Uncle Bill,88.62,Hall,87.12,2017,Regular
49,9,Crackers,73.76,Farmer Fran,63.98,2017,Regular
50,9,Street Fighters,82.5,Tommy,92.06,2017,Regular
51,9,Crusaders,116.16,Hulkamaniacs,79.94,2017,Regular
52,9,Afternoon Delights,98.68,Bubba,77.02,2017,Regular
53,9,Monstars,52.84,Waiver Wire,68.68,2017,Regular
54,10,Hall,94.96,Farmer Fran,102.56,2017,Regular
55,10,Tommy,77.42,Uncle Bill,74.26,2017,Regular
56,10,Hulkamaniacs,78.36,Crackers,99.1,2017,Regular
57,10,Bubba,95.04,Street Fighters,104.68,2017,Regular
58,10,Waiver Wire,104.58,Crusaders,97.34,2017,Regular
59,10,Monstars,67.2,Afternoon Delights,109.72,2017,Regular
60,11,Tommy,124.92,Hall,140.74,2017,Regular
61,11,Farmer Fran,69.46,Hulkamaniacs,107.36,2017,Regular
62,11,Uncle Bill,91.9,Bubba,108.0,2017,Regular
63,11,Crackers,92.8,Waiver Wire,79.48,2017,Regular
64,11,Street Fighters,95.68,Monstars,60.52,2017,Regular
65,11,Crusaders,95.7,Afternoon Delights,109.62,2017,Regular
66,12,Hall,123.26,Hulkamaniacs,70.0,2017,Regular
67,12,Bubba,78.02,Tommy,119.58,2017,Regular
68,12,Waiver Wire,108.08,Farmer Fran,53.12,2017,Regular
69,12,Monstars,62.46,Uncle Bill,63.24,2017,Regular
70,12,Afternoon Delights,83.92,Crackers,109.58,2017,Regular
71,12,Crusaders,98.46,Street Fighters,123.92,2017,Regular
72,13,Bubba,63.12,Hall,89.76,2017,Regular
73,13,Hulkamaniacs,88.08,Waiver Wire,95.94,2017,Regular
74,13,Tommy,94.42,Monstars,99.36,2017,Regular
75,13,Farmer Fran,108.92,Afternoon Delights,110.98,2017,Regular
76,13,Uncle Bill,85.56,Crusaders,107.24,2017,Regular
77,13,Crackers,53.68,Street Fighters,96.78,2017,Regular
78,14,Waiver Wire,44.64,BYE,BYE,2017,Regular
79,14,Crackers,80.64,Hall,120.16,2017,Regular
80,14,Street Fighters,79.94,Tommy,100.24,2017,Regular
81,14,Afternoon Delights,117.34,BYE,BYE,2017,Regular
82,14,Crusaders,98.84,Uncle Bill,98.74,2017,Regular
83,14,Monstars,84.24,Farmer Fran,87.18,2017,Regular
84,14,Hulkamaniacs,122.84,Bubba,116.12,2017,Regular
85,15,Waiver Wire,113.64,Hall,104.18,2017,Playoff
86,15,Afternoon Delights,103.68,Tommy,72.98,2017,Playoff
87,15,Street Fighters,142.64,Crackers,119.58,2017,Playoff
88,15,Crusaders,60.3,Farmer Fran,94.98,2017,Playoff
89,15,Uncle Bill,80.94,Hulkamaniacs,138.18,2017,Playoff
90,15,Monstars,64.72,Bubba,47.72,2017,Playoff
91,16,Waiver Wire,99.26,Afternoon Delights,68.72,2017,Playoff
92,16,Hall,78.0,Tommy,48.02,2017,Playoff
93,16,Street Fighters,124.3,Crackers,71.72,2017,Playoff
94,16,Farmer Fran,63.7,Hulkamaniacs,94.52,2017,Playoff
95,16,Crusaders,67.1,Monstars,69.82,2017,Playoff
96,16,Uncle Bill,58.26,Bubba,80.86,2017,Playoff
0,1,Hulkamaniacs,125.42,Hall,71.58,2018,Regular
1,1,Tommy,73.58,Bubba,117.96,2018,Regular
2,1,Farmer Fran,105.46,Waiver Wire,110.92,2018,Regular
3,1,Uncle Bill,85.24,Monstars,137.34,2018,Regular
4,1,Crackers,91.62,Afternoon Delights,110.9,2018,Regular
5,1,Street Fighters,87.34,Crusaders,139.06,2018,Regular
6,2,Hall,97.16,Bubba,130.96,2018,Regular
7,2,Waiver Wire,109.02,Hulkamaniacs,70.46,2018,Regular
8,2,Monstars,97.94,Tommy,100.46,2018,Regular
9,2,Afternoon Delights,141.44,Farmer Fran,107.44,2018,Regular
10,2,Crusaders,108.12,Uncle Bill,106.68,2018,Regular
11,2,Street Fighters,73.4,Crackers,91.24,2018,Regular
12,3,Waiver Wire,117.98,Hall,74.92,2018,Regular
13,3,Bubba,95.44,Monstars,85.3,2018,Regular
14,3,Hulkamaniacs,95.86,Afternoon Delights,111.66,2018,Regular
15,3,Tommy,83.5,Crusaders,114.74,2018,Regular
16,3,Farmer Fran,89.74,Street Fighters,112.7,2018,Regular
17,3,Uncle Bill,71.28,Crackers,83.78,2018,Regular
18,4,Hall,104.46,Monstars,93.72,2018,Regular
19,4,Afternoon Delights,135.26,Waiver Wire,111.28,2018,Regular
20,4,Crusaders,114.78,Bubba,124.96,2018,Regular
21,4,Street Fighters,106.7,Hulkamaniacs,114.66,2018,Regular
22,4,Crackers,94.78,Tommy,75.72,2018,Regular
23,4,Uncle Bill,108.58,Farmer Fran,116.3,2018,Regular
24,5,Afternoon Delights,114.92,Hall,98.84,2018,Regular
25,5,Monstars,91.58,Crusaders,156.22,2018,Regular
26,5,Waiver Wire,95.82,Street Fighters,100.1,2018,Regular
27,5,Bubba,98.6,Crackers,139.22,2018,Regular
28,5,Hulkamaniacs,91.6,Uncle Bill,103.56,2018,Regular
29,5,Tommy,74.04,Farmer Fran,74.96,2018,Regular
30,6,Hall,91.6,Crusaders,149.9,2018,Regular
31,6,Street Fighters,86.38,Afternoon Delights,102.38,2018,Regular
32,6,Crackers,155.58,Monstars,150.5,2018,Regular
33,6,Uncle Bill,80.4,Waiver Wire,94.66,2018,Regular
34,6,Farmer Fran,73.38,Bubba,103.32,2018,Regular
35,6,Tommy,111.92,Hulkamaniacs,119.2,2018,Regular
36,7,Street Fighters,71.06,Hall,129.18,2018,Regular
37,7,Crusaders,117.6,Crackers,62.56,2018,Regular
38,7,Afternoon Delights,132.44,Uncle Bill,122.76,2018,Regular
39,7,Monstars,116.72,Farmer Fran,101.84,2018,Regular
40,7,Waiver Wire,102.22,Tommy,96.2,2018,Regular
41,7,Bubba,100.84,Hulkamaniacs,101.66,2018,Regular
42,8,Hall,100.46,Crackers,114.02,2018,Regular
43,8,Uncle Bill,120.56,Street Fighters,126.86,2018,Regular
44,8,Farmer Fran,120.54,Crusaders,109.0,2018,Regular
45,8,Tommy,85.84,Afternoon Delights,88.32,2018,Regular
46,8,Hulkamaniacs,102.4,Monstars,86.1,2018,Regular
47,8,Bubba,100.86,Waiver Wire,138.7,2018,Regular
48,9,Uncle Bill,111.48,Hall,112.36,2018,Regular
49,9,Crackers,81.4,Farmer Fran,102.72,2018,Regular
50,9,Street Fighters,58.12,Tommy,88.02,2018,Regular
51,9,Crusaders,138.44,Hulkamaniacs,97.84,2018,Regular
52,9,Afternoon Delights,132.4,Bubba,102.56,2018,Regular
53,9,Monstars,103.16,Waiver Wire,66.88,2018,Regular
54,10,Hall,61.26,Farmer Fran,100.42,2018,Regular
55,10,Tommy,77.94,Uncle Bill,95.12,2018,Regular
56,10,Hulkamaniacs,119.7,Crackers,150.34,2018,Regular
57,10,Bubba,98.9,Street Fighters,146.92,2018,Regular
58,10,Waiver Wire,89.12,Crusaders,115.14,2018,Regular
59,10,Monstars,112.26,Afternoon Delights,134.76,2018,Regular
60,11,Tommy,127.28,Hall,80.92,2018,Regular
61,11,Farmer Fran,126.84,Hulkamaniacs,79.34,2018,Regular
62,11,Uncle Bill,91.28,Bubba,107.88,2018,Regular
63,11,Crackers,118.7,Waiver Wire,115.34,2018,Regular
64,11,Street Fighters,74.22,Monstars,132.18,2018,Regular
65,11,Crusaders,151.92,Afternoon Delights,147.02,2018,Regular
66,12,Hall,135.62,Hulkamaniacs,118.88,2018,Regular
67,12,Bubba,103.62,Tommy,52.6,2018,Regular
68,12,Waiver Wire,74.0,Farmer Fran,107.76,2018,Regular
69,12,Monstars,81.22,Uncle Bill,100.24,2018,Regular
70,12,Afternoon Delights,127.98,Crackers,131.86,2018,Regular
71,12,Crusaders,129.94,Street Fighters,73.98,2018,Regular
72,13,Bubba,70.42,Hall,93.8,2018,Regular
73,13,Hulkamaniacs,86.28,Waiver Wire,86.28,2018,Regular
74,13,Tommy,119.04,Monstars,61.92,2018,Regular
75,13,Farmer Fran,93.26,Afternoon Delights,94.0,2018,Regular
76,13,Uncle Bill,83.16,Crusaders,128.18,2018,Regular
77,13,Crackers,140.1,Street Fighters,100.24,2018,Regular
78,14,Crusaders,110.54,BYE,BYE,2018,Regular
79,14,Bubba,82.96,Farmer Fran,72.9,2018,Regular
80,14,Crackers,99.08,Waiver Wire,110.32,2018,Regular
81,14,Afternoon Delights,135.58,BYE,BYE,2018,Regular
82,14,Hulkamaniacs,89.2,Hall,127.92,2018,Regular
83,14,Monstars,102.54,Street Fighters,76.38,2018,Regular
84,14,Tommy,77.82,Uncle Bill,64.5,2018,Regular
85,15,Crusaders,42.52,Bubba,52.28,2018,Playoff
86,15,Afternoon Delights,90.22,Waiver Wire,103.72,2018,Playoff
87,15,Crackers,92.68,Farmer Fran,82.92,2018,Playoff
88,15,Hall,87.86,Monstars,52.56,2018,Playoff
89,15,Hulkamaniacs,122.06,Tommy,37.3,2018,Playoff
90,15,Street Fighters,80.4,Uncle Bill,49.14,2018,Playoff
91,16,Bubba,109.98,Waiver Wire,124.88,2018,Playoff
92,16,Crusaders,95.14,Afternoon Delights,115.12,2018,Playoff
93,16,Crackers,79.84,Farmer Fran,69.74,2018,Playoff
94,16,Hulkamaniacs,114.04,Hall,73.74,2018,Playoff
95,16,Monstars,98.68,Street Fighters,159.2,2018,Playoff
96,16,Tommy,53.4,Uncle Bill,42.8,2018,Playoff
0,1,Tommy,110.22,Uncle Bill,158.02,2019,Regular
1,1,Street Fighters,78.86,Monstars,102.3,2019,Regular
2,1,Farmer Fran,128.36,Waiver Wire,127.64,2019,Regular
3,1,Hall,125.86,Hulkamaniacs,77.7,2019,Regular
4,1,Bubba,80.7,Afternoon Delights,112.22,2019,Regular
5,1,Crusaders,94.84,Crackers,95.22,2019,Regular
6,2,Uncle Bill,84.76,Monstars,122.66,2019,Regular
7,2,Waiver Wire,139.76,Tommy,92.84,2019,Regular
8,2,Hulkamaniacs,43.82,Street Fighters,78.52,2019,Regular
9,2,Afternoon Delights,102.02,Farmer Fran,125.58,2019,Regular
10,2,Crackers,80.92,Hall,120.0,2019,Regular
11,2,Crusaders,106.6,Bubba,89.3,2019,Regular
12,3,Waiver Wire,95.14,Uncle Bill,109.8,2019,Regular
13,3,Monstars,122.44,Hulkamaniacs,114.54,2019,Regular
14,3,Tommy,148.46,Afternoon Delights,92.66,2019,Regular
15,3,Street Fighters,75.48,Crackers,94.42,2019,Regular
16,3,Farmer Fran,131.38,Crusaders,103.96,2019,Regular
17,3,Hall,125.64,Bubba,82.18,2019,Regular
18,4,Uncle Bill,109.58,Hulkamaniacs,120.74,2019,Regular
19,4,Afternoon Delights,58.9,Waiver Wire,104.6,2019,Regular
20,4,Crackers,103.7,Monstars,78.72,2019,Regular
21,4,Crusaders,64.18,Tommy,82.0,2019,Regular
22,4,Bubba,110.02,Street Fighters,113.1,2019,Regular
23,4,Hall,106.5,Farmer Fran,90.28,2019,Regular
24,5,Afternoon Delights,102.44,Uncle Bill,130.66,2019,Regular
25,5,Hulkamaniacs,79.38,Crackers,83.84,2019,Regular
26,5,Waiver Wire,128.32,Crusaders,124.8,2019,Regular
27,5,Monstars,126.82,Bubba,137.86,2019,Regular
28,5,Tommy,78.66,Hall,120.42,2019,Regular
29,5,Street Fighters,121.44,Farmer Fran,104.26,2019,Regular
30,6,Uncle Bill,85.42,Crackers,79.0,2019,Regular
31,6,Crusaders,107.14,Afternoon Delights,94.52,2019,Regular
32,6,Bubba,80.02,Hulkamaniacs,107.8,2019,Regular
33,6,Hall,119.5,Waiver Wire,122.26,2019,Regular
34,6,Farmer Fran,109.44,Monstars,86.22,2019,Regular
35,6,Street Fighters,72.34,Tommy,86.14,2019,Regular
36,7,Crusaders,85.96,Uncle Bill,130.56,2019,Regular
37,7,Crackers,84.98,Bubba,103.3,2019,Regular
38,7,Afternoon Delights,92.34,Hall,119.64,2019,Regular
39,7,Hulkamaniacs,72.24,Farmer Fran,75.72,2019,Regular
40,7,Waiver Wire,82.66,Street Fighters,62.18,2019,Regular
41,7,Monstars,109.12,Tommy,60.94,2019,Regular
42,8,Uncle Bill,117.7,Bubba,112.2,2019,Regular
43,8,Hall,127.18,Crusaders,85.5,2019,Regular
44,8,Farmer Fran,115.94,Crackers,92.16,2019,Regular
45,8,Street Fighters,77.58,Afternoon Delights,57.02,2019,Regular
46,8,Tommy,66.18,Hulkamaniacs,151.78,2019,Regular
47,8,Monstars,119.36,Waiver Wire,136.76,2019,Regular
48,9,Hall,106.12,Uncle Bill,132.74,2019,Regular
49,9,Bubba,89.96,Farmer Fran,110.32,2019,Regular
50,9,Crusaders,82.54,Street Fighters,100.46,2019,Regular
51,9,Crackers,70.1,Tommy,79.76,2019,Regular
52,9,Afternoon Delights,104.26,Monstars,84.38,2019,Regular
53,9,Hulkamaniacs,100.44,Waiver Wire,86.4,2019,Regular
54,10,Uncle Bill,79.72,Farmer Fran,127.12,2019,Regular
55,10,Street Fighters,109.82,Hall,92.38,2019,Regular
56,10,Tommy,69.92,Bubba,80.0,2019,Regular
57,10,Monstars,111.48,Crusaders,100.78,2019,Regular
58,10,Waiver Wire,110.52,Crackers,93.88,2019,Regular
59,10,Hulkamaniacs,77.78,Afternoon Delights,142.04,2019,Regular
60,11,Street Fighters,71.42,Uncle Bill,107.42,2019,Regular
61,11,Farmer Fran,117.08,Tommy,84.16,2019,Regular
62,11,Hall,75.8,Monstars,108.66,2019,Regular
63,11,Bubba,87.94,Waiver Wire,80.54,2019,Regular
64,11,Crusaders,73.44,Hulkamaniacs,102.72,2019,Regular
65,11,Crackers,111.76,Afternoon Delights,62.18,2019,Regular
66,12,Uncle Bill,113.32,Tommy,69.24,2019,Regular
67,12,Monstars,79.12,Street Fighters,72.86,2019,Regular
68,12,Waiver Wire,96.32,Farmer Fran,130.36,2019,Regular
69,12,Hulkamaniacs,96.04,Hall,143.0,2019,Regular
70,12,Afternoon Delights,61.08,Bubba,63.58,2019,Regular
71,12,Crackers,91.88,Crusaders,79.54,2019,Regular
72,13,Monstars,115.5,Uncle Bill,80.74,2019,Regular
73,13,Tommy,49.6,Waiver Wire,100.0,2019,Regular
74,13,Street Fighters,47.0,Hulkamaniacs,61.26,2019,Regular
75,13,Farmer Fran,74.9,Afternoon Delights,84.2,2019,Regular
76,13,Hall,97.84,Crackers,89.44,2019,Regular
77,13,Bubba,100.54,Crusaders,99.98,2019,Regular
78,14,Farmer Fran,90.2,BYE,BYE,2019,Regular
79,14,Waiver Wire,115.94,Monstars,117.68,2019,Regular
80,14,Uncle Bill,86.6,Bubba,122.28,2019,Regular
81,14,Hall,87.7,BYE,BYE,2019,Regular
82,14,Hulkamaniacs,150.56,Crackers,54.74,2019,Regular
83,14,Street Fighters,78.5,Afternoon Delights,56.22,2019,Regular
84,14,Tommy,57.6,Crusaders,91.02,2019,Regular
85,15,Farmer Fran,131.48,Monstars,120.32,2019,Playoff
86,15,Hall,121.74,Bubba,95.38,2019,Playoff
87,15,Uncle Bill,134.02,Waiver Wire,82.46,2019,Playoff
88,15,Hulkamaniacs,103.18,Street Fighters,36.5,2019,Playoff
89,15,Crackers,131.96,Crusaders,106.6,2019,Playoff
90,15,Afternoon Delights,103.0,Tommy,98.64,2019,Playoff
91,16,Farmer Fran,124.22,Hall,94.06,2019,Playoff
92,16,Monstars,93.06,Bubba,131.18,2019,Playoff
93,16,Uncle Bill,86.64,Waiver Wire,104.18,2019,Playoff
94,16,Hulkamaniacs,71.96,Crackers,129.12,2019,Playoff
95,16,Street Fighters,72.18,Afternoon Delights,70.74,2019,Playoff
96,16,Tommy,84.36,Crusaders,102.46,2019,Playoff
0,1,Hall,111.58,Hulkamaniacs,86.8,2019,Regular
1,1,Tommy,98.36,Bubba,111.08,2019,Regular
2,1,Waiver Wire,99.3,Street Fighters,88.84,2019,Regular
3,1,Uncle Bill,115.64,Ed Horne Football Team,112.82,2019,Regular
4,1,Afternoon Delights,134.16,Farmer Fran,118.3,2019,Regular
5,1,Crackers,96.6,Crusaders,83.2,2019,Regular
6,2,Hulkamaniacs,103.58,Bubba,113.1,2019,Regular
7,2,Street Fighters,90.98,Hall,116.08,2019,Regular
8,2,Ed Horne Football Team,122.4,Tommy,107.08,2019,Regular
9,2,Farmer Fran,93.56,Waiver Wire,64.58,2019,Regular
10,2,Crusaders,122.54,Uncle Bill,156.9,2019,Regular
11,2,Crackers,161.42,Afternoon Delights,100.18,2019,Regular
12,3,Street Fighters,0.0,Hulkamaniacs,0.0,2019,Regular
13,3,Bubba,0.0,Ed Horne Football Team,0.0,2019,Regular
14,3,Hall,0.0,Farmer Fran,0.0,2019,Regular
15,3,Tommy,0.0,Crusaders,0.0,2019,Regular
16,3,Waiver Wire,0.0,Crackers,0.0,2019,Regular
17,3,Uncle Bill,0.0,Afternoon Delights,0.0,2019,Regular
18,4,Hulkamaniacs,0.0,Ed Horne Football Team,0.0,2019,Regular
19,4,Farmer Fran,0.0,Street Fighters,0.0,2019,Regular
20,4,Crusaders,0.0,Bubba,0.0,2019,Regular
21,4,Crackers,0.0,Hall,0.0,2019,Regular
22,4,Afternoon Delights,0.0,Tommy,0.0,2019,Regular
23,4,Uncle Bill,0.0,Waiver Wire,0.0,2019,Regular
24,5,Farmer Fran,0.0,Hulkamaniacs,0.0,2019,Regular
25,5,Ed Horne Football Team,0.0,Crusaders,0.0,2019,Regular
26,5,Street Fighters,0.0,Crackers,0.0,2019,Regular
27,5,Bubba,0.0,Afternoon Delights,0.0,2019,Regular
28,5,Hall,0.0,Uncle Bill,0.0,2019,Regular
29,5,Tommy,0.0,Waiver Wire,0.0,2019,Regular
30,6,Hulkamaniacs,0.0,Crusaders,0.0,2019,Regular
31,6,Crackers,0.0,Farmer Fran,0.0,2019,Regular
32,6,Afternoon Delights,0.0,Ed Horne Football Team,0.0,2019,Regular
33,6,Uncle Bill,0.0,Street Fighters,0.0,2019,Regular
34,6,Waiver Wire,0.0,Bubba,0.0,2019,Regular
35,6,Tommy,0.0,Hall,0.0,2019,Regular
36,7,Crackers,0.0,Hulkamaniacs,0.0,2019,Regular
37,7,Crusaders,0.0,Afternoon Delights,0.0,2019,Regular
38,7,Farmer Fran,0.0,Uncle Bill,0.0,2019,Regular
39,7,Ed Horne Football Team,0.0,Waiver Wire,0.0,2019,Regular
40,7,Street Fighters,0.0,Tommy,0.0,2019,Regular
41,7,Bubba,0.0,Hall,0.0,2019,Regular
42,8,Hulkamaniacs,0.0,Afternoon Delights,0.0,2019,Regular
43,8,Uncle Bill,0.0,Crackers,0.0,2019,Regular
44,8,Waiver Wire,0.0,Crusaders,0.0,2019,Regular
45,8,Tommy,0.0,Farmer Fran,0.0,2019,Regular
46,8,Hall,0.0,Ed Horne Football Team,0.0,2019,Regular
47,8,Bubba,0.0,Street Fighters,0.0,2019,Regular
48,9,Uncle Bill,0.0,Hulkamaniacs,0.0,2019,Regular
49,9,Afternoon Delights,0.0,Waiver Wire,0.0,2019,Regular
50,9,Crackers,0.0,Tommy,0.0,2019,Regular
51,9,Crusaders,0.0,Hall,0.0,2019,Regular
52,9,Farmer Fran,0.0,Bubba,0.0,2019,Regular
53,9,Ed Horne Football Team,0.0,Street Fighters,0.0,2019,Regular
54,10,Hulkamaniacs,0.0,Waiver Wire,0.0,2019,Regular
55,10,Tommy,0.0,Uncle Bill,0.0,2019,Regular
56,10,Hall,0.0,Afternoon Delights,0.0,2019,Regular
57,10,Bubba,0.0,Crackers,0.0,2019,Regular
58,10,Street Fighters,0.0,Crusaders,0.0,2019,Regular
59,10,Ed Horne Football Team,0.0,Farmer Fran,0.0,2019,Regular
60,11,Tommy,0.0,Hulkamaniacs,0.0,2019,Regular
61,11,Waiver Wire,0.0,Hall,0.0,2019,Regular
62,11,Uncle Bill,0.0,Bubba,0.0,2019,Regular
63,11,Afternoon Delights,0.0,Street Fighters,0.0,2019,Regular
64,11,Crackers,0.0,Ed Horne Football Team,0.0,2019,Regular
65,11,Crusaders,0.0,Farmer Fran,0.0,2019,Regular
